name,quantity,total_supply,usd_floor,eth_floor,supply,holders,type,usd_holding,eth_holding
hoge.finance (HOGE),253357948,,0.0,0.0,1000000000000,"68,089",ERC-20,0.0,0.0
SHIBA INU (SHIB),855104315666103,,0.0,0.0,999992093534840,"992,020",ERC-20,0.0,0.0
Wicked (WCKD),11995541412,,0.0,0.0,2774422,"2,835",ERC-20,0.0,0.0
Crypto Canna... (CCC),2,,735.0,0.18,10000,"4,005",ERC-721,1470.0,0.36
CryptoKittie... (CK),3,,0.0,0.0,2009679,"109,879",ERC-721,0.0,0.0
CryptoMories (CRYPTO...),1,,1102.51,0.27,10000,"4,144",ERC-721,1102.51,0.27
CryptoZunks (ZUNK),3,,408.01,0.1,10000,"3,222",ERC-721,1224.03,0.30000000000000004
Ethereum Nam... (ENS),1,,2407.27,0.59,0,"166,104",ERC-721,2407.27,0.59
KIA (KIA),2,,592.03,0.1451,10000,"4,898",ERC-721,1184.06,0.2902
Lostboy (LOSTBO...),5,,163.2,0.04,10000,"3,714",ERC-721,816.0,0.2
Rarible (RARI),8,,1224.04,0.3,155355,"85,258",ERC-721,9792.32,2.4
Wicked Apes (WKDAPE),1,,567.14,0.139,10000,"4,699",ERC-721,567.14,0.139
Wicked Hound... (WKDHND),2,,118.32,0.029,11111,"3,843",ERC-721,236.64,0.058
AlphaBetty D... (ALPHAB...),20,,40.8,0.01,10000,"3,494",ERC-721,816.0,0.2
Blockheads #... (TWEEKE...),16,,0.0,0.0,16,2,ERC-721,0.0,0.0
Deadbears (DEADBE...),3,,448.81,0.11,1000,265,ERC-721,1346.43,0.33
Farmers Meta... (FMV),2,,118.32,0.029,5000,"1,508",ERC-721,236.64,0.058
Lamb Duhs (LAMB),2,,122.4,0.03,8500,"2,615",ERC-721,244.8,0.06
Lawless Lemm... (LAW),2,,122.4,0.03,731,343,ERC-721,244.8,0.06
Lockdown Lem... (LEM),2,,51.0,0.0125,0,"3,775",ERC-721,102.0,0.025
Lostgirl (LOSTGI...),5,,122.0,0.0299,866,355,ERC-721,610.0,0.1495
PBit's (PBits),1,,0.0,0.0,11,7,ERC-721,0.0,0.0
PUNK 3D (PK3D),13,,0.0,0.0,19,3,ERC-721,0.0,0.0
PunkBabies (PNKB),1,,142.8,0.035,3901,956,ERC-721,142.8,0.035
Qubits On Th... (QOTI),2,,53.04,0.013,9999,"2,491",ERC-721,106.08,0.026
Tie Dye Ninj... (TDN),3,,122.0,0.0299,7777,"2,748",ERC-721,366.0,0.0897
Wicked Monst... (WMNSTR),1,,408.01,0.1,4022,"2,058",ERC-721,408.01,0.1
Yat NFT (Yats),3,,163.2,0.04,7864,"3,456",ERC-721,489.59999999999997,0.12
ZPets (ZPET),2,,326.41,0.08,878,320,ERC-721,652.82,0.16
OpenSea Shar... (OPENST...),16,,612.02,0.15,0,"277,730",ERC-1155,9792.32,2.4
Rarible (RARI),23,,692.38,0.1696969,0,"126,428",ERC-1155,15924.74,3.9030287
 (),1,,4039.32,0.99,0,"1,815",ERC-1155,4039.32,0.99
Music is ...... (FEELS),21,,122.4,0.03,0,4,ERC-1155,2570.4,0.63
