hash,method,block,age,sender,direction,reciever,eth_value,eth_fee
0x8b140856a617880e0bc5241ee6dcde21cd81dc5ce5b3185a73e1dae89b07cdc7,Atomic Match_,13481211,2 days 2 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.197,0.01509782
0x55e8fb555e8a81b6f8a8ee468d4517dcc180cf318686519ef3ca8a01a610b852,Transfer,13481117,2 days 3 hrs ago,Coinbase 4, IN ,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,0.23593857,0.00181657
0xd9dbd61601d0374d5ec36ab5548cfedb52f24c5947a398c4fb4ddbd9f6ba12dd,Cancel Order_,13477864,2 days 15 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00477797
0x1b407a937b8e54351ac5eeb9dc21a0223fc9fba4be2f6ded9a58155cd9db2ff9,Cancel Order_,13477853,2 days 15 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00457057
0xee2bb3dc8371fab4c276a8579fe49f2faee343ce77c36d1d45f18302cf4cccbe,Cancel Order_,13463947,4 days 19 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00510703
0xe9582215defe34b47d5bf486dc360c2586b913e3709a09dd3527a74c441fc70a,Cancel Order_,13463944,4 days 19 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00426265
0x8f52e49722f6aa98cf564dd1f9442652191a4dd9812ec147cfea3f3c9b136f47,Set Approval For...,13456515,5 days 23 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, 0xea3171718dc324d8258dcdb92268cb62649bd0c1,0.0,0.00547043
0x2d7ef57f3e6ec7998704f0cbe74b3c212ce91acf16e7fceec66c722dd83f7ea4,Atomic Match_,13456479,5 days 23 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.06,0.02051304
0xb55b95330603e8669bcc96f90f143ae07c5bb7c3509486fc77103f5e07a0c549,Transfer,13456372,6 days 10 mins ago,Coinbase 4, IN ,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,0.07016256,0.0019849
0x29242d4714c2f15f526bd4455b0109f56b1954423ef36db6707b1191388486df,Cancel Order_,13451882,6 days 17 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00438681
0x92c8704dfb0fc48d8dc14daed9aa682aade46ef9ec0348231facee1ad36af771,Cancel Order_,13451758,6 days 17 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00424975
0xb7aba2e58ef0982f47d8a01281a71a7b804aac0d1a064c791e542ba0e121ebeb,Cancel Order_,13451738,6 days 17 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00446132
0x9a1cd49dd328c2971f8f2c9cf3416a4a3411de841d38ba310f1aa87914c25f05,Cancel Order_,13451680,6 days 17 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00510165
0xe6161ee9b6436a623e8d672702cb9410743cfc2221b424ed3dc1c03f33b2439c,Cancel Order_,13451669,6 days 17 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00452165
0xda685a976171d008d97922280c2936854246c349389cfdcccafe081955f86b33,Cancel Order_,13451483,6 days 18 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00402791
0xb098bbbb4ac2963a95dbae7fc265c10faa33524c27902031b54ec0db3169ba1d,Cancel Order_,13451460,6 days 18 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.0,0.00493378
0xbcbeb29fd2cdb4151dac91f63db54c2358c7c6a5a38b4123cc564642835ce111,Atomic Match_,13437736,8 days 22 hrs ago,0x5ffa235a2478a1e3e1b01cc1ee968bee915351af,OUT, OpenSea,0.05,0.01235391
